name;location;longitude;latitude
Kościół pw. MB Fatimskiej i św. Jana Pawła II ;Gniezno;52.529667483067605;17.56810236402111
Kościół i parafia pw. św. Jana Pawła II w Grajewie;Grajewo;53.641621160075985;22.445102999610977
Kościół i parafia św. Jana Pawła II w Biłgoraju;Biłgoraj;50.537663004324834;22.732000381346857
Sanktuarium św. Jana Pawła II;Kraków;50.01317516412265;19.936418890930348
Kościół i parafia św. Jana Pawła II w Poznaniu;Poznań;52.44889177438811;16.937266353114236
Kościół św. Jana Pawła II w Słopnicach;Słopnice;49.69961489852061;20.351754442229563
Kościół św. Jana Pawła II w Międzylesiu;Międzylesie;50.14251714229844;16.659788171484365
Kościół Najświętszej Maryi Panny Gwiazdy Nowej Ewangelizacji i św. Jana Pawła II w Toruniu;Toruń;53.018027989432795;18.51868249798606
Kaplica i parafia św. Jana Pawła II w Stalowej Woli;Stalowa Wola;50.56287728316859;22.05857464847837
Kościół św. Jana Pawła II w Przysiekach;Przysieki;49.73904212601749;21.38436202911014
Kościół i parafia św. Jana Pawła II w Ostrowcu Świętokrzyskim;Ostrowiec Świętokrzyski;50.96361347303599;21.44027905797887
Kościół i parafia św. Jana Pawła II w Nowym Targu;Nowy Targ;49.46728773247455;20.025831525950966
Kościół i parafia św. Jana Pawła II w Nowym Sączu;Nowy Sącz;49.63102646579636;20.714882568288715
Kościół i parafia św. Jana Pawła II w Baranowiczach;Baranowicze, Białoruś;53.101472;25.990972
Parafia św. Jana Pawła II w Burkacie;Burkat;53.272917;20.143861
Kaplica i parafia św. Jana Pawła II w Bydgoszczy;Bydgoszcz;53.146389;18.135833
Parafia św. Jana Pawła II w Dacznem;Daczne, Ukraina;46.566667;30.533333
Parafia św. Jana Pawła II w Ełku;Ełk;53.799444;22.350833
Kościół i parafia św. Jana Pawła II w Gdańsku;Gdańsk;54.309444;18.586389
Kościół i parafia św. Jana Pawła II w Ignatkach-Osiedlu;Ignatki-Osiedle;53.083611;23.118611
Kościół Matki Bożej Częstochowskiej i św. Jana Pawła II w Kaczynie;Kaczyn;50.776863;20.727696
Parafia św. Jana Pawła II w Kaliszu;Kalisz;51.7475;18.049167
Parafia św. Jana Pawła II w Kłodzku;Kłodzko;50.446806;16.671389
Kaplica i parafia św. Jana Pawła II w Kościanie;Kościan;52.096111;16.664167
Kaplica i parafia św. Jana Pawła II w Lublinie;Lublin;51.199806;22.543306
Parafia św. Jana Pawła II we Lwowie;Lwów, Ukraina;49.779444;24.0175
Parafia św. Jana Pawła II w Mądrzechowie;Mądrzechowo;54.16288;17.516019
Kościół i parafia św. Jana Pawła II w Opolu;Opole;50.682474;17.974314
Parafia św. Jana Pawła II w Piotrkowie Trybunalskim;Piotrków Trybunalski;51.413889;19.668611
Parafia św. Jana Pawła II w Podsarniu;Podsarnie;49.548108;19.777183
Parafia św. Jana Pawła II w Pszczynie;Pszczyna;49.995278;18.9425
Parafia św. Jana Pawła II w Pułtusku;Pułtusk;52.705833;21.087778
Kaplica i parafia św. Jana Pawła II w Radzyminie;Radzymin;52.411194;21.199167
Kościół i parafia św. Jana Pawła II w Ruścu;Rusiec;52.06668;20.815489
Kaplica i parafia św. Jana Pawła II w Rzeszowie;Rzeszów;50.034222;22.062028
Kościół i parafia św. Jana Pawła II i śś. Cyryla i Metodego w Radomiu;Radom;51.399393;21.215899
Parafia św. Jana Pawła II w Siedlcach;Siedlce;52.156944;22.274722
Parafia św. Jana Pawła II w Sulbinach;Sulbiny;51.8725;21.640556
Parafia św. Jana Pawła II w Warszawie;Warszawa;52.254833;20.930667
Kościół garnizonowy i parafia wojskowa św. Jana Pawła II w Warszawie-Wesołej;Warszawa;52.256389;21.231389
Parafia św. Jana Pawła II w Zawierciu;Zawiercie;50.479283;19.426764
Kościół i parafia św. Jana Pawła II w Zgierzu;Zgierz;51.836657;19.444035
St. John Paul II Catholic Church;Ponte Vedra Beach, Floryda, Stany Zjednoczone;30.12293694179762;-81.43508425783426
Kaple svatého Jana Pavla II.;Bukovany;49.041395;17.101382
Gereja Katolik Santo Yohanes Paulus II;Kubu Raya Regency, Pontianak, West Kalimantanl, Indonezja;-0.02794671470328502;109.39009273989035
Gereja Katolik St. Yohanes Paulus II;Santo Yohannes Paulus II Tuntungan, Medan, North Sumatra, Indonezja;3.496378314651712;98.58046203510702
Kirkja St. Jóhannesar Páls II;Keflavík, Islandia;63.969813;-22.571594
