name,location,longitude,latitude
Pomnik Jana Pawła II,Tyczyn,49.96574,22.02952
Pomnik Jana Pawła II,Zaczernie,50.09108,21.99439
Figura Jana Pawła II,Wysoka Głogowska,50.15785,22.02211
Pomnik Jana Pawła II,Przemyśl,49.78158,22.77305
Pomnik św. Jana Pawła II,Kalwaria Pacławska,49.63104,22.70585
Pomnik Jana Pawła II,Sokolniki,50.64901,21.80276
Pomnik Jana Pawła II,Stalowa Wola,50.56871,22.066
Pomnik im. Jana Pawła II,Ulanów,50.48996,22.26226
Pomnik Jana Pawła II,Trześń,50.33254,21.49555
Pomnik ku czci Jana Pawła II,Mielec,50.24453,21.49005
900 lat Zgórska w roku beatyfikacji Papieża Jana Pawła II,Podborze,50.23859,21.28834
Pomnik im. Jana Pawła II,Wola Ociecka,50.15998,21.5406
Pomnik Jana Pawła II,Tarnobrzeg,50.58564,21.68701
Pomnik Jan Paweł II,Łężyny,49.64695,21.52237
Pomnik Jana Pawła II,Targowiska,49.65213,21.82065
Popiersie Jana Pawła II,Łubienko,49.65084,21.56981
Pomnik Jana Pawła II,Dębica,50.05392,21.41134
Papież Jan Paweł II,Sieniawa,50.17645,22.60834
Figura Jana Pawła II,Brzyska,49.81308,21.35155
Pomnik Jana Pawła II,Wiśniowa,49.86872,21.64623
Pomnik Jana Pawła II,Chmielnik,49.98374,22.1188
Pomnik Jana Pawła II,Ropczyce,50.05373,21.61163
Pomnik Jana Pawła II,Olchowa,50.05549,21.75732
Pomnik Jana Pawła II,Leżajsk,50.2704,22.40759
"Lezajsk, mury bazyliki i pomnik Jana Pawla II",Leżajsk,50.2703,22.4076
Pomnik Jana Pawła II,Lipnica,50.28848,21.8905
Figura Jana Pawła II,Wola Raniżowska,50.29542,21.95121
Pomnik w Parku Papieskim,Rzeszów,50.01553389205665,22.020390563287183
Pomnik Jana Pawła II,Rzeszów,50.01319227264659,22.01917376085774
Pomnik Jana Pawła II,Krosno,49.6784674,21.7716397
Jan Paweł II,Pobiedno,49.5267842,22.1052473
Pomnik Jana Pawła II,Brzozów,49.6949993,22.0192502
Popiersie Jana Pawła II,Białka,49.8697981,22.0389908
Jana Pawła II,Mogielnica,49.9808721,21.9162732
Pomnik Jana Pawła II,Rzeszów,50.0484155,21.9993366
Pomnik Papieża Jana Pawła II,Chotowa,50.0261793,21.2987853
im. Jana Pawła II,Konieczkowa,49.842305,21.925545
Tu wędrował JPII,Odrzechowa,49.5178056,21.9314388
im. Jana Pawła II,Godowa,49.8452354,21.812896
Pamiątka beatyfikacji Jana Pawła II,Posada Jaśliska,49.3973484,21.8200329
Popiersie Jana Pawła II,Czaszyn,49.4425113,22.2107729
Święty Jan Paweł II,Mielec,50.2931532,21.4430149
Pomnik św. Jana Pawła II,Górki,49.6471361,22.0400877
Jan Paweł II,Szklary,49.8808292,22.2426374
Pomnik Św. Jana Pawła II,Łopuszka Wielka,49.9387872,22.3965577
Jan Paweł II,Cisna,49.2118352,22.3272527
Pomnik Milenijny,Przeworsk,50.059163,22.4946606
Pomnik Jana Pawła II,Giedlarowa,50.2357894,22.4192628
św. Jan Paweł II,Dukla,49.5585448,21.6830984
Kamień Papieski,Kuryłówka,50.290674,22.4414849
Jan Paweł II,Szówsko,50.0266167,22.7162655
Pomnik Jana Pawła II,Tarnobrzeg,50.5814272,21.68596
